Date,data
d,1509
02-01-1992,1541
03-01-1992,1597
04-01-1992,1675
05-01-1992,1822
06-01-1992,1775
07-01-1992,1912
08-01-1992,1862
09-01-1992,1770
10-01-1992,1882
11-01-1992,1831
12-01-1992,2511
01-01-1993,1614
02-01-1993,1529
03-01-1993,1678
04-01-1993,1713
05-01-1993,1796
06-01-1993,1792
07-01-1993,1950
08-01-1993,1777
09-01-1993,1707
10-01-1993,1757
11-01-1993,1782
12-01-1993,2443
01-01-1994,1548
02-01-1994,1505
03-01-1994,1714
04-01-1994,1757
05-01-1994,1830
06-01-1994,1857
07-01-1994,1981
08-01-1994,1858
09-01-1994,1823
10-01-1994,1806
11-01-1994,1845
12-01-1994,2577
01-01-1995,1555
02-01-1995,1501
03-01-1995,1725
04-01-1995,1699
05-01-1995,1807
06-01-1995,1863
07-01-1995,1886
08-01-1995,1861
09-01-1995,1845
10-01-1995,1788
11-01-1995,1879
12-01-1995,2598
01-01-1996,1679
02-01-1996,1652
03-01-1996,1837
04-01-1996,1798
05-01-1996,1957
06-01-1996,1958
07-01-1996,2034
08-01-1996,2062
09-01-1996,1781
10-01-1996,1860
11-01-1996,1992
12-01-1996,2547
01-01-1997,1706
02-01-1997,1621
03-01-1997,1853
04-01-1997,1817
05-01-1997,2060
06-01-1997,2002
07-01-1997,2098
08-01-1997,2079
09-01-1997,1892
10-01-1997,2050
11-01-1997,2082
12-01-1997,2821
01-01-1998,1846
02-01-1998,1768
03-01-1998,1894
04-01-1998,1963
05-01-1998,2140
06-01-1998,2059
07-01-1998,2209
08-01-1998,2118
09-01-1998,2031
10-01-1998,2163
11-01-1998,2154
12-01-1998,3037
01-01-1999,1866
02-01-1999,1808
03-01-1999,1986
04-01-1999,2099
05-01-1999,2210
06-01-1999,2145
07-01-1999,2339
08-01-1999,2140
09-01-1999,2126
10-01-1999,2219
11-01-1999,2273
12-01-1999,3265
01-01-2000,1920
02-01-2000,1976
03-01-2000,2190
04-01-2000,2132
05-01-2000,2357
06-01-2000,2413
07-01-2000,2463
08-01-2000,2422
09-01-2000,2358
10-01-2000,2352
11-01-2000,2549
12-01-2000,3375
01-01-2001,2109
02-01-2001,2052
03-01-2001,2327
04-01-2001,2231
05-01-2001,2470
06-01-2001,2526
07-01-2001,2483
08-01-2001,2518
09-01-2001,2316
10-01-2001,2409
11-01-2001,2638
12-01-2001,3542
01-01-2002,2114
02-01-2002,2109
03-01-2002,2366
04-01-2002,2300
05-01-2002,2569
06-01-2002,2486
07-01-2002,2568
08-01-2002,2595
09-01-2002,2297
10-01-2002,2401
11-01-2002,2601
12-01-2002,3488
01-01-2003,2121
02-01-2003,2046
03-01-2003,2273
04-01-2003,2333
05-01-2003,2576
06-01-2003,2433
07-01-2003,2611
08-01-2003,2660
09-01-2003,2461
10-01-2003,2641
11-01-2003,2660
12-01-2003,3654
01-01-2004,2293
02-01-2004,2219
03-01-2004,2398
04-01-2004,2553
05-01-2004,2685
06-01-2004,2643
07-01-2004,2867
08-01-2004,2622
09-01-2004,2618
10-01-2004,2727
11-01-2004,2763
12-01-2004,3801
01-01-2005,2219
02-01-2005,2316
03-01-2005,2530
04-01-2005,2640
05-01-2005,2709
06-01-2005,2783
07-01-2005,2924
08-01-2005,2791
09-01-2005,2784
10-01-2005,2801
11-01-2005,2933
12-01-2005,4137
01-01-2006,2424
02-01-2006,2519
03-01-2006,2753
