Date,data
01-01-1990,1064.5
02-01-1990,1074.5
03-01-1990,1090
04-01-1990,1097.4
05-01-1990,1108.7
06-01-1990,1123.5
07-01-1990,1134.2
08-01-1990,1137.4
09-01-1990,1128.8
10-01-1990,1106.8
11-01-1990,1104.3
12-01-1990,1106.4
01-01-1991,1067
02-01-1991,1082.6
03-01-1991,1097.1
04-01-1991,1121.9
05-01-1991,1138.1
06-01-1991,1148.6
07-01-1991,1148.2
08-01-1991,1151.7
09-01-1991,1141.9
10-01-1991,1121.4
11-01-1991,1119.3
12-01-1991,1122.3
01-01-1992,1071.5
02-01-1992,1083
03-01-1992,1096
04-01-1992,1116
05-01-1992,1126.6
06-01-1992,1134.2
07-01-1992,1143.7
08-01-1992,1144.7
09-01-1992,1137.8
10-01-1992,1116.3
11-01-1992,1112.2
12-01-1992,1112.7
01-01-1993,1084.1
02-01-1993,1092.4
03-01-1993,1103.8
04-01-1993,1117
05-01-1993,1136.6
06-01-1993,1149.3
07-01-1993,1148.2
08-01-1993,1153.7
09-01-1993,1150
10-01-1993,1129.3
11-01-1993,1123.2
12-01-1993,1133.5
01-01-1994,1097.9
02-01-1994,1112.4
03-01-1994,1124.6
04-01-1994,1137.5
05-01-1994,1155
06-01-1994,1170.2
07-01-1994,1170.2
08-01-1994,1174
09-01-1994,1170.7
10-01-1994,1147
11-01-1994,1145.7
12-01-1994,1154.5
01-01-1995,1123.9
02-01-1995,1140.5
03-01-1995,1157
04-01-1995,1171.5
05-01-1995,1193.2
06-01-1995,1208.6
07-01-1995,1209.6
08-01-1995,1217.8
09-01-1995,1213.1
10-01-1995,1189.6
11-01-1995,1192.4
12-01-1995,1199.6
01-01-1996,1175.2
02-01-1996,1194.5
03-01-1996,1211.3
04-01-1996,1215.3
05-01-1996,1238.7
06-01-1996,1243.5
07-01-1996,1249
08-01-1996,1255.4
09-01-1996,1242.9
10-01-1996,1230.9
11-01-1996,1230.8
12-01-1996,1240.9
01-01-1997,1188.8
02-01-1997,1205.7
03-01-1997,1224.7
04-01-1997,1241.2
05-01-1997,1259.9
06-01-1997,1277.4
07-01-1997,1259.1
08-01-1997,1268.1
09-01-1997,1254.7
10-01-1997,1230.6
11-01-1997,1227.8
12-01-1997,1230.1
01-01-1998,1206.5
02-01-1998,1227.8
03-01-1998,1242.1
04-01-1998,1257
05-01-1998,1271.1
06-01-1998,1288.4
07-01-1998,1293.8
08-01-1998,1298.6
09-01-1998,1291.2
10-01-1998,1266.3
11-01-1998,1265.9
